10.0.2.2 - - [07/May/2017:17:45:59 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 404 191 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:46:00 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 404 191 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:46:01 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 404 191 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:47:07 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 404 191 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:05 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 200 603 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:09 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:09 +0000] "GET /assets/css/main.css HTTP/1.1" 200 7360 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:09 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 200 33562 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:09 +0000] "GET /assets/js/jquery.dropotron.min.js HTTP/1.1" 200 1830 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:49:09 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 200 3194 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
